file_name,rule_id,severity,line_number,detected_message,actual_code_line,validity,verification_reason
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,36,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_delaysp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,37,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_interlocksp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,38,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_interlockdbsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,39,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_closesp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,40,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_deadbandsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,41,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_openvvsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,42,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_closevvsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,43,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_minvvsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,44,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_assset);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,45,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", dp_lastval);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,46,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", dp_orplastval);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,47,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_textfield_dpid\"", obj_orpsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,48,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_value_check_box_sp\"", dp_select1);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,50,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""mode_change\"",$DP3 + \"".value.ORP_MODE_RESULT\"");",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,Medium,2305,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(\""CB_user_reverse_check_box\"", $DP3 + \"".cmd.ORP_USE\"");",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE.pnl,CTL_ERR_002,Medium,2305,"[CTL_ERR_002] 위반: Try, Catch 예외처리","dpConnect(\""CB_user_reverse_check_box\"", $DP3 + \"".cmd.ORP_USE\"");",VALID,예외 처리 구문 미사용 확인
CA2_Na2SO3_VALVE_pnl.txt,MANUAL-005,Info,40,"[MANUAL_REVIEW] Raima DB 증가 방지: 1) DP 알람 설정 값 변경 시 dpSetTimed(0, dpe, value)를 사용하였는가? - dpSetTimed를 사용하지 않을 경우 설정 값에 대한 변경 이력이 Raima에 기록되어 Raima DB 증가","dpConnect(""CB_value_check_box_sp"", dp_select1);",VALID,룰 검사 기준 부합
