file_name,rule_id,rule_name,checker_key,source_key,severity,line_start,line_end,code_snippet,message,is_mapped_to_excel
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,36,36,"dpConnect(\""CB_value_textfield_dpid\"", obj_delaysp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,37,37,"dpConnect(\""CB_value_textfield_dpid\"", obj_interlocksp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,38,38,"dpConnect(\""CB_value_textfield_dpid\"", obj_interlockdbsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,39,39,"dpConnect(\""CB_value_textfield_dpid\"", obj_closesp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,40,40,"dpConnect(\""CB_value_textfield_dpid\"", obj_deadbandsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,41,41,"dpConnect(\""CB_value_textfield_dpid\"", obj_openvvsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,42,42,"dpConnect(\""CB_value_textfield_dpid\"", obj_closevvsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,43,43,"dpConnect(\""CB_value_textfield_dpid\"", obj_minvvsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,44,44,"dpConnect(\""CB_value_textfield_dpid\"", obj_assset);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,45,45,"dpConnect(\""CB_value_textfield_dpid\"", dp_lastval);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,46,46,"dpConnect(\""CB_value_textfield_dpid\"", dp_orplastval);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,47,47,"dpConnect(\""CB_value_textfield_dpid\"", obj_orpsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,48,48,"dpConnect(\""CB_value_check_box_sp\"", dp_select1);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,50,50,"dpConnect(\""mode_change\"",$DP3 + \"".value.ORP_MODE_RESULT\"");",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,2305,2305,"dpConnect(\""CB_user_reverse_check_box\"", $DP3 + \"".cmd.ORP_USE\"");",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE.pnl,CTL_ERR_002,"Try, Catch 예외처리",ctl.try_catch,"공통|예외처리|Try, Catch 예외처리",Medium,2305,2305,"dpConnect(\""CB_user_reverse_check_box\"", $DP3 + \"".cmd.ORP_USE\"");","[CTL_ERR_002] 위반: Try, Catch 예외처리",True
CA2_Na2SO3_VALVE_pnl.txt,MANUAL-005,적절한 DP 처리 함수 사용,,성능|시스템 부하 및 성능 최적화|적절한 DP 처리 함수 사용_2,Info,40,40,"dpConnect(""CB_value_check_box_sp"", dp_select1);","[MANUAL_REVIEW] Raima DB 증가 방지: 1) DP 알람 설정 값 변경 시 dpSetTimed(0, dpe, value)를 사용하였는가? - dpSetTimed를 사용하지 않을 경우 설정 값에 대한 변경 이력이 Raima에 기록되어 Raima DB 증가",True
CA2_Na2SO3_VALVE_pnl.txt,MANUAL-005,적절한 DP 처리 함수 사용,,성능|시스템 부하 및 성능 최적화|적절한 DP 처리 함수 사용_2,Info,28,28,"dpConnect(""CB_value_textfield_dpid"", obj_delaysp);","[MANUAL_REVIEW] Raima DB 증가 방지: 1) DP 알람 설정 값 변경 시 dpSetTimed(0, dpe, value)를 사용하였는가? - dpSetTimed를 사용하지 않을 경우 설정 값에 대한 변경 이력이 Raima에 기록되어 Raima DB 증가",True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,28,28,"dpConnect(""CB_value_textfield_dpid"", obj_delaysp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,29,29,"dpConnect(""CB_value_textfield_dpid"", obj_interlocksp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,30,30,"dpConnect(""CB_value_textfield_dpid"", obj_interlockdbsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,31,31,"dpConnect(""CB_value_textfield_dpid"", obj_closesp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,32,32,"dpConnect(""CB_value_textfield_dpid"", obj_deadbandsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,33,33,"dpConnect(""CB_value_textfield_dpid"", obj_openvvsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,34,34,"dpConnect(""CB_value_textfield_dpid"", obj_closevvsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,35,35,"dpConnect(""CB_value_textfield_dpid"", obj_minvvsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,36,36,"dpConnect(""CB_value_textfield_dpid"", obj_assset);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,37,37,"dpConnect(""CB_value_textfield_dpid"", dp_lastval);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,38,38,"dpConnect(""CB_value_textfield_dpid"", dp_orplastval);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,39,39,"dpConnect(""CB_value_textfield_dpid"", obj_orpsp);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,40,40,"dpConnect(""CB_value_check_box_sp"", dp_select1);",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,42,42,"dpConnect(""mode_change"",$DP3 + "".value.ORP_MODE_RESULT"");",[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,436,436,dpConnect(\] [0] - [main],[CTL_RES_001] 위반: 메모리 누수 체크,True
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,메모리 누수 체크,ctl.dp_connect_pair,성능|시스템 부하 및 성능 최적화|메모리 누수 체크,Medium,440,440,"dpConnect(""CB_user_reverse_check_box"", $DP3 + "".cmd.ORP_USE"");",[CTL_RES_001] 위반: 메모리 누수 체크,True
GoldenTime_todo (2).ctl.txt,MANUAL-005,적절한 DP 처리 함수 사용,,성능|시스템 부하 및 성능 최적화|적절한 DP 처리 함수 사용_2,Info,80,80,"dpConnect(""CB_ChangeActiveCondition"", manager_dpname + "".Action.ActiveCondition"");","[MANUAL_REVIEW] 적절한 DP 처리 함수 사용: 2) 비동기 처리(dpConnect, dpQueryConnectSing) 시, Callback함수의 병목 요소는 없는가? - Callback함수 내 이벤트 처리의 병목 발생 요소 최소화 : delay() 사용 지양 : 처리 시간 소요되는 작업은 별도 스레드/큐 사용 필요",True
PitPumpEWSAlarm.ctl,CTL_PRF_001,Loop문 내에 처리 조건,ctl.loop_delay,성능|시스템 부하 및 성능 최적화|Loop문 내에 처리 조건,Medium,1038,1038,while(true),[CTL_PRF_001] 위반: Loop문 내에 처리 조건,True
PitPumpEWSAlarm.ctl,CTL_PRF_001,Loop문 내에 처리 조건,ctl.loop_delay,성능|시스템 부하 및 성능 최적화|Loop문 내에 처리 조건,Medium,1511,1511,while(true),[CTL_PRF_001] 위반: Loop문 내에 처리 조건,True
PitPumpEWSAlarm.ctl,CTL_PRF_001,Loop문 내에 처리 조건,ctl.loop_delay,성능|시스템 부하 및 성능 최적화|Loop문 내에 처리 조건,Medium,1615,1615,while(true),[CTL_PRF_001] 위반: Loop문 내에 처리 조건,True
